Date,Soil Texture,Moisture,pH,Soil Color
29/07/2024,Loam,13,4.5,Gray
17/01/2024,Sandy,10,7.9,Black
21/03/2024,Clay,25,9.0,Yellow
12/06/2024,Silty-Loam,16,8.0,Brown
08/02/2023,Heavy Clay,40,4.3,Red
04/02/2020,Loam,13,5.8,Brown
22/03/2019,Sandy,7,10.0,Black
09/03/2018,Silty-Loam,12,7.5,Brown
24/08/2018,Clay,20,8.9,Black
24/01/2019,Heavy Clay,22,8.1,Red
11/04/2018,Loam,13,8.0,Yellow
04/04/2016,Sandy-Loamy,8,10.0,Gray
09/09/2016,Clay,69,6.7,Black
06/09/2016,Silty-Loam,15,8.0,Black
02/08/2024,Heavy Clay,23,40.0,Black
